Title,Authors,Publication Year,Journal,PMID,PMCID,DOI,Link,Associated Data,Associated Data Repository(-ies)
Automated Label-Free Quantification of Metabolites from LC-MS Data,"Erhan Kenar, Holger Franken, Sara Forcisi, Kilian W_rmann, Hans-Ulrich H_ring, Rainer Lehmann, Philippe Schmitt-Kopplin, Andreas Zell & Oliver Kohlbacher",2013,Molecular & Cellular Proteomics,24176773,PMC3879626,10.1074/mcp.m113.031278,http://www.mcponline.org/content/early/2013/10/31/mcp.M113.031278,MTBLS235,MetaboLights
N-glycosylation Profiling of Colorectal Cancer Cell Lines Reveals Association of Fucosylation with Differentiation and Caudal Type Homebox 1 (CDX1)/Villin mRNA Expression,"Stephanie Holst, Anna J. M. Deuss, Gabi W. van Pelt, Sandra J. van Vliet, Juan J. Garcia-Vallejo, Carolien A. M. Koeleman, Andr_ M. Deelder, Wilma E. Mesker, Rob A. Tollenaar, Yoann Rombouts & Manfred Wuhrer",2016,Molecular & Cellular Proteomics,26537799,PMC4762531,10.1074/mcp.m115.051235,http://www.mcponline.org/content/15/1/124.abstract,MTBLS227,MetaboLights
Salmonella modulates metabolism during growth under conditions that induce expression of virulence genes,"Young-Mo Kim, Brian J. Schmidt, Afshan S. Kidwai, Marcus B. Jones, Brooke L. Deatherage Kaiser, Heather M. Brewer, Hugh D. Mitchell, Bernhard O. Palsson, Jason E. McDermott, Fred Heffron, Richard D. Smith, Scott N. Peterson, Charles Ansong, Daniel R. Hyduke, Thomas O. Metz and Joshua N. Adkins",2013,Molecular BioSystems,23559334,PMC3665296,10.1039/c3mb25598k,http://pubs.rsc.org/en/content/articlelanding/2013/mb/c3mb25598k,MTBLS35,MetaboLights
"Unexpected similarities between the Schizosaccharomyces and human blood metabolomes, and novel human metabolites","Romanas Chaleckis, Masahiro Ebe, Tom‡_ Pluskal, Itsuo Murakami, Hiroshi Kondoh & Mitsuhiro Yanagida",2014,Molecular BioSystems,25010571,NA,10.1039/c4mb00346b,http://pubs.rsc.org/en/content/articlelanding/2014/mb/c4mb00346b#!divAbstract,MTBLS87,MetaboLights
"Unexpected similarities between the Schizosaccharomyces and human blood metabolomes, and novel human metabolites","Romanas Chaleckis, Masahiro Ebe, Tom‡_ Pluskal, Itsuo Murakami, Hiroshi Kondoh & Mitsuhiro Yanagida",2014,Molecular BioSystems,25010571,NA,10.1039/c4mb00346b,http://pubs.rsc.org/en/content/articlelanding/2014/mb/c4mb00346b#!divAbstract,MTBLS88,MetaboLights
Metabolomics identifies the intersection of phosphoethanolamine with menaquinone-triggered apoptosis in an in vitro model of leukemia.,"Suganthagunthalam Dhakshinamoorthy, Nha-Truc Dinh, Jeffrey Skolnickb & Mark P. Styczynski",2015,Molecular BioSystems,26175011,PMC4534331,10.1039/c5mb00237k,http://pubs.rsc.org/en/Content/ArticleLanding/2015/MB/C5MB00237K#!divAbstract,MTBLS226,MetaboLights
Research Resource: Tissue- and Pathway-Specific Metabolomic Profiles of the Steroid Receptor Coactivator (SRC) Family,"Brian York, J¿rn V. Sagen, Anna Tsimelzon, Jean-Francios Louet, Atul R. Chopra, Erin L. Reineke, Suoling Zhou, Robert D. Stevens, Brett R. Wenner, Olga Ilkayeva, James R. Bain, Jianming Xu, Susan G. Hilsenbeck, Christopher B. Newgard & Bert W. O'Malley",2013,Molecular Endocrinology,23315938,PMC3683811,10.1210/me.2012-1324,https://academic.oup.com/mend/article/27/2/366/2615152/Research-Resource-Tissue-and-Pathway-Specific,MTBLS30,MetaboLights
"The metabolic response of Arabidopsis roots to oxidative stress is distinct from that of heterotrophic cells in culture and highlights a complex relationship between the levels of transcripts, metabolites, and flux.","Martin Lehmann, Markus Schwarzl_nder, Toshihiro Obata, Supaart Sirikantaramas, Meike Burow, Carl Erik Olsen, Takayuki Tohgea, Mark D. Fricker, Birger Lindberg M¿ller, Alisdair R. Fernie, Lee J. Sweetlove & Miriam Laxa",2009,Molecular Plant,19825624,NA,10.1093/mp/ssn080,http://www.sciencedirect.com/science/article/pii/S1674205214604810?via%3Dihub,MEX76,MetaPhen
Carbon metabolism and bacteroid functioning are involved in the regulation of nitrogen fixation in Medicago truncatula under drought and recovery.,"Est’baliz Larrainzar, Stefanie Wienkoop, Christian Scherling, Stefan Kempa, Rub_n Ladrera, Cesar Arrese-Igor, Wolfram Weckwerth & Esther M. Gonz‡lez",2009,Molecular Plant-Microbe Interactions,19888822,NA,10.1094/MPMI-22-12-1565,http://apsjournals.apsnet.org/doi/abs/10.1094/MPMI-22-12-1565,MEX79,MetaPhen
Model-driven multi-omic data analysis elucidates metabolic immunomodulators of macrophage activation,"Aarash Bordbar, Monica L Mo, Ernesto S Nakayasu, Alexandra C Schrimpe_Rutledge, Young_Mo Kim, Thomas O Metz, Marcus B Jones, Bryan C Frank, Richard D Smith, Scott N Peterson, Daniel R Hyduke, Joshua N Adkins & Bernhard O Palsson",2012,Molecular Systems Biology,22735334,PMC3397418,10.1038/msb.2012.21,http://msb.embopress.org/content/8/1/558,MTBLS23,MetaboLights
Divergent Relationships between Fecal Microbiota and Metabolome following Distinct Antibiotic-Induced Disruptions,"Jocelyn M. Choo, Tokuwa Kanno, Nur Masirah Mohd Zain, Lex E. X. Leong, Guy C. J. Abell, Julie E. Keeble, Kenneth D. Bruce, A. James Mason & Geraint B. Rogers",2017,mSphere,28194448,PMC5299068,10.1128/msphere.00005-17,http://msphere.asm.org/content/2/1/e00005-17,MTBLS422,MetaboLights
Human gut microbes impact host serum metabolome and insulin sensitivity,"Helle Krogh Pedersen, Valborg Gudmundsdottir, Henrik Bj¿rn Nielsen, Tuulia Hyotylainen, Trine Nielsen, Benjamin A. H. Jensen, Kristoffer Forslund, Falk Hildebrand, Edi Prifti, Gwen Falony, Emmanuelle Le Chatelier, Florence Levenez, Joel Dor_, Ismo Mattila, Damian R. Plichta, P_ivi P_h_, Lars I. Hellgren, Manimozhiyan Arumugam, Shinichi Sunagawa, Sara Vieira-Silva, Torben J¿rgensen, Jacob Bak Holm, Kajetan Tro_t, MetaHIT Consortium, Karsten Kristiansen, Susanne Brix, Jeroen Raes, Jun Wang, Torben Hansen, Peer Bork, S¿ren Brunak, Matej Oresic, S. Dusko Ehrlich & Oluf Pedersen",2016,Nature,27409811,NA,10.1038/nature18646,http://www.nature.com/nature/journal/v535/n7612/abs/nature18646.html,MTBLS351,MetaboLights
Genome sequence and genetic diversity of European ash trees,"Elizabeth S. A. Sollars, Andrea L. Harper, Laura J. Kelly, Christine M. Sambles, Ricardo H. Ramirez-Gonzalez, David Swarbreck, Gemy Kaithakottil, Endymion D. Cooper, Cristobal Uauy, Lenka Havlickova, Gemma Worswick, David J. Studholme, Jasmin Zohren, Deborah L. Salmon, Bernardo J. Clavijo, Yi Li, Zhesi He, Alison Fellgett, Lea Vig McKinney, Lene Rostgaard Nielsen, Gerry C. Douglas, Erik Dahl Kj_r, J. Allan Downie, David Boshier, Steve Lee, Jo Clark, Murray Grant, Ian Bancroft, Mario Caccamo & Richard J. A. Buggs",2017,Nature,28024298,NA,10.1038/nature20786,http://www.nature.com/nature/journal/v541/n7636/full/nature20786.html,MTBLS372,MetaboLights
Dietary emulsifiers impact the mouse gut microbiota promoting colitis and metabolic syndrome,"Benoit Chassaing, Omry Koren, Julia K. Goodrich, Angela C. Poole, Shanthi Srinivasan, Ruth E. Ley & Andrew T. Gewirtz",2015,Nature,25731162,PMC4910713,10.1038/nature14232,http://www.nature.com/nature/journal/v519/n7541/full/nature14232.html,ST000203,Metabolomics Workbench
Dietary emulsifiers impact the mouse gut microbiota promoting colitis and metabolic syndrome,"Benoit Chassaing, Omry Koren, Julia K. Goodrich, Angela C. Poole, Shanthi Srinivasan, Ruth E. Ley & Andrew T. Gewirtz",2015,Nature,25731162,PMC4910713,10.1038/nature14232,http://www.nature.com/nature/journal/v519/n7541/full/nature14232.html,ST000213,Metabolomics Workbench
An environmental bacterial taxon with a large and distinct metabolic repertoire.,"Micheal C. Wilson, Tetsushi Mori, Christian RŸckert, Agustinus R. Uria, Maximilian J. Helf, Kentaro Takada, Christine Gernert, Ursula A. E. Steffens, Nina Heycke, Susanne Schmitt, Christian Rinke, Eric J. N. Helfrich, Alexander O. Brachmann, Cristian Gurgui, Toshiyuki Wakimoto, Matthias Kracht, Max CrŸsemann, Ute Hentschel, Ikuro Abe, Shigeki Matsunaga, J_rn Kalinowski, Haruko Takeyama & J_rn Piel",2014,Nature,24476823,NA,10.1038/nature12959,https://www.nature.com/nature/journal/v506/n7486/full/nature12959.html,MSV000078670,GNPS
An environmental bacterial taxon with a large and distinct metabolic repertoire.,"Micheal C. Wilson, Tetsushi Mori, Christian RŸckert, Agustinus R. Uria, Maximilian J. Helf, Kentaro Takada, Christine Gernert, Ursula A. E. Steffens, Nina Heycke, Susanne Schmitt, Christian Rinke, Eric J. N. Helfrich, Alexander O. Brachmann, Cristian Gurgui, Toshiyuki Wakimoto, Matthias Kracht, Max CrŸsemann, Ute Hentschel, Ikuro Abe, Shigeki Matsunaga, J_rn Kalinowski, Haruko Takeyama & J_rn Piel",2014,Nature,24476823,NA,10.1038/nature12959,https://www.nature.com/nature/journal/v506/n7486/full/nature12959.html,MSV000078669,GNPS
A microfluidics-based in vitro model of the gastrointestinal humanäóñmicrobe interface,"Pranjul Shah, Jo‘lle V. Fritz, Enrico Glaab, Mahesh S. Desai, Kacy Greenhalgh, Audrey Frachet, Magdalena Niegowska, Matthew Estes, Christian J_ger, Carole Seguin-Devaux, Frederic Zenhausern & Paul Wilmes",2016,Nature Communications,27168102,PMC4865890,10.1038/ncomms11535,https://www.nature.com/articles/ncomms11535,MTBLS328,MetaboLights
Nicotinamide Riboside is Uniquely Bioavailable in People and Mice,"Samuel A. J. Trammell, Mark S. Schmidt, Benjamin J. Weidemann, Philip Redpath, Frank Jaksch, Ryan W. Dellinger, Zhonggang Li, E. Dale Abel, Marie E. Migaud & Charles Brenner",2016,Nature Communications,27721479,PMC5062546,10.1038/ncomms12948,https://www.nature.com/articles/ncomms12948,MTBLS368,MetaboLights
A female gametocyte-specific ABC transporter plays a role in lipid metabolism in the malaria parasite,"Phuong N. Tran, Simon H. J. Brown, Todd W. Mitchell, Kai Matuschewski, Paul J. McMillan, Kiaran Kirk, Matthew W. A. Dixon & Alexander G. Maier",2014,Nature Communications,25198203,NA,10.1038/ncomms5773,https://www.nature.com/articles/ncomms5773,MTBLS98,MetaboLights
Genome-scale study reveals reduced metabolic adaptability in patients with non-alcoholic fatty liver disease,"Tuulia Hy_tyl_inen, Livnat Jerby, Elina M. Pet_j_, Ismo Mattila, Sirkku J_ntti, Petri Auvinen, Amalia Gastaldelli, Hannele Yki-J_rvinen, Eytan Ruppin & Matej Ore_i_",2016,Nature Communications,26839171,PMC4742839,10.1038/ncomms9994,https://www.nature.com/articles/ncomms9994,MTBLS298,MetaboLights
FoxO1 integrates direct and indirect effects of insulin on hepatic glucose production and glucose utilization,"InSug O-Sullivan, Wenwei Zhang, David H. Wasserman, Chong Wee Liew, Jonathan Liu, Jihye Paik, Ronald A. DePinho, Donna Beer Stolz, C. Ronald Kahn, Michael W. Schwartz & Terry G. Unterman",2015,Nature Communications,25963540,PMC4755301,10.1038/ncomms8079,http://www.nature.com/articles/ncomms8079,ST000215,Metabolomics Workbench
FoxO1 integrates direct and indirect effects of insulin on hepatic glucose production and glucose utilization,"InSug O-Sullivan, Wenwei Zhang, David H. Wasserman, Chong Wee Liew, Jonathan Liu, Jihye Paik, Ronald A. DePinho, Donna Beer Stolz, C. Ronald Kahn, Michael W. Schwartz & Terry G. Unterman",2015,Nature Communications,25963540,PMC4755301,10.1038/ncomms8079,http://www.nature.com/articles/ncomms8079,ST000198,Metabolomics Workbench
Long-term neural and physiological phenotyping of a single human,"Russell A. Poldrack, Timothy O. Laumann, Oluwasanmi Koyejo, Brenda Gregory, Ashleigh Hover, Mei-Yen Chen, Krzysztof J. Gorgolewski, Jeffrey Luci, Sung Jun Joo, Ryan L. Boyd, Scott Hunicke-Smith, Zack Booth Simpson, Thomas Caven, Vanessa Sochat, James M. Shine, Evan Gordon, Abraham Z. Snyder, Babatunde Adeyemo, Steven E. Petersen, David C. Glahn, D. Reese Mckay, Joanne E. Curran, Harald H. H. G_ring, Melanie A. Carless, John Blangero, Robert Dougherty, Alexander Leemans, Daniel A. Handwerker, Laurie Frick, Edward M. Marcotte & Jeanette A. Mumford",2015,Nature Communications,26648521,PMC4682164,10.1038/ncomms9885,https://www.nature.com/articles/ncomms9885,ST000397,Metabolomics Workbench
Plasma phospholipids identify antecedent memory impairment in older adults,"Mark Mapstone, Amrita K Cheema, Massimo S Fiandaca, Xiaogang Zhong, Timothy R Mhyre, Linda H MacArthur, William J Hall, Susan G Fisher, Derick R Peterson, James M Haley, Michael D Nazar, Steven A Rich, Dan J Berlau, Carrie B Peltz, Ming T Tan, Claudia H Kawas & Howard J Federoff",2014,Nature Medicine,24608097,PMC5360460,10.1038/nm.3466,http://www.nature.com/nm/journal/v20/n4/full/nm.3466.html,MTBLS72,MetaboLights
FDR-controlled metabolite annotation for high-resolution imaging mass spectrometry,"Andrew Palmer, Prasad Phapale, Ilya Chernyavsky, Regis Lavigne, Dominik Fay, Artem Tarasov, Vitaly Kovalev, Jens Fuchser, Sergey Nikolenko, Charles Pineau, Michael Becker & Theodore Alexandrov",2017,Nature Methods,27842059,NA,10.1038/nmeth.4072,https://www.nature.com/nmeth/journal/v14/n1/abs/nmeth.4072.html,MTBLS313,MetaboLights
FDR-controlled metabolite annotation for high-resolution imaging mass spectrometry,"Andrew Palmer, Prasad Phapale, Ilya Chernyavsky, Regis Lavigne, Dominik Fay, Artem Tarasov, Vitaly Kovalev, Jens Fuchser, Sergey Nikolenko, Charles Pineau, Michael Becker & Theodore Alexandrov",2017,Nature Methods,27842059,NA,10.1038/nmeth.4072,https://www.nature.com/nmeth/journal/v14/n1/abs/nmeth.4072.html,MTBLS317,MetaboLights
FDR-controlled metabolite annotation for high-resolution imaging mass spectrometry,"Andrew Palmer, Prasad Phapale, Ilya Chernyavsky, Regis Lavigne, Dominik Fay, Artem Tarasov, Vitaly Kovalev, Jens Fuchser, Sergey Nikolenko, Charles Pineau, Michael Becker & Theodore Alexandrov",2017,Nature Methods,27842059,NA,10.1038/nmeth.4072,https://www.nature.com/nmeth/journal/v14/n1/abs/nmeth.4072.html,MTBLS378,MetaboLights
Nontargeted in vitro metabolomics for high-throughput identification of novel enzymes in Escherichia coli,"Daniel C S_vin, Tobias Fuhrer, Nicola Zamboni & Uwe Sauer",2017,Nature Methods,27941785,NA,10.1038/nmeth.4103,http://www.nature.com/nmeth/journal/v14/n2/abs/nmeth.4103.html,MTBLS373,MetaboLights
The metabolic background is a global player in Saccharomyces gene expression epistasis,"Mohammad Tauqeer Alam, Aleksej Zelezniak, Michael MŸlleder, Pavel Shliaha, Roland Schwarz, Floriana Capuano, Jakob Vowinckel, Elahe Radmaneshfar, Antje KrŸger, Enrica Calvani, Steve Michel, Stefan B_rno, Stefan Christen, Kiran Raosaheb Patil, Bernd Timmermann, Kathryn S. Lilley & Markus Ralser",2016,Nature Microbiology,27572163,PMC5131842,10.1038/nmicrobiol.2015.30,https://www.nature.com/articles/nmicrobiol201530,MTBLS168,MetaboLights
"Influence of early life exposure, host genetics and diet on the mouse gut microbiome and metabolome","Antoine M. Snijders, Sasha A. Langley, Young-Mo Kim, Colin J. Brislawn, Cecilia Noecker, Erika M. Zink, Sarah J. Fansler, Cameron P. Casey, Darla R. Miller, Yurong Huang, Gary H. Karpen, Susan E. Celniker, James B. Brown, Elhanan Borenstein, Janet K. Jansson, Thomas O. Metz & Jian-Hua Mao",2016,Nature Microbiology,27892936,NA,10.1038/nmicrobiol.2016.221,https://www.nature.com/articles/nmicrobiol2016221,MTBLS345,MetaboLights
Global metabolic profiling of animal and human tissues via UPLC-MS.,"Elizabeth J Want, Perrine Masson, Filippos Michopoulos, Ian D Wilson, Georgios Theodoridis, Robert S Plumb, John Shockcor, Neil Loftus, Elaine Holmes & Jeremy K Nicholson",2013,Nature Protocols,23222455,NA,10.1038/nprot.2012.135,https://www.nature.com/nprot/journal/v8/n1/full/nprot.2012.135.html,MSV000079788,GNPS
The human microbiome: at the interface of health and disease,Ilseung Cho & Martin J. Blaser,2012,Nature Reviews Genetics,22411464,PMC3418802,10.1038/nrg3182,http://www.nature.com/nrg/journal/v13/n4/full/nrg3182.html,ST000028,Metabolomics Workbench
The human microbiome: at the interface of health and disease,Ilseung Cho & Martin J. Blaser,2012,Nature Reviews Genetics,22411464,PMC3418802,10.1038/nrg3182,http://www.nature.com/nrg/journal/v13/n4/full/nrg3182.html,ST000031,Metabolomics Workbench
The human microbiome: at the interface of health and disease,Ilseung Cho & Martin J. Blaser,2012,Nature Reviews Genetics,22411464,PMC3418802,10.1038/nrg3182,http://www.nature.com/nrg/journal/v13/n4/full/nrg3182.html,ST000034,Metabolomics Workbench
The human microbiome: at the interface of health and disease,Ilseung Cho & Martin J. Blaser,2012,Nature Reviews Genetics,22411464,PMC3418802,10.1038/nrg3182,http://www.nature.com/nrg/journal/v13/n4/full/nrg3182.html,ST000036,Metabolomics Workbench
The human microbiome: at the interface of health and disease,Ilseung Cho & Martin J. Blaser,2012,Nature Reviews Genetics,22411464,PMC3418802,10.1038/nrg3182,http://www.nature.com/nrg/journal/v13/n4/full/nrg3182.html,ST000037,Metabolomics Workbench
The human microbiome: at the interface of health and disease,Ilseung Cho & Martin J. Blaser,2012,Nature Reviews Genetics,22411464,PMC3418802,10.1038/nrg3182,http://www.nature.com/nrg/journal/v13/n4/full/nrg3182.html,ST000027,Metabolomics Workbench
The human microbiome: at the interface of health and disease,Ilseung Cho & Martin J. Blaser,2012,Nature Reviews Genetics,22411464,PMC3418802,10.1038/nrg3182,http://www.nature.com/nrg/journal/v13/n4/full/nrg3182.html,ST000030,Metabolomics Workbench
The human microbiome: at the interface of health and disease,Ilseung Cho & Martin J. Blaser,2012,Nature Reviews Genetics,22411464,PMC3418802,10.1038/nrg3182,http://www.nature.com/nrg/journal/v13/n4/full/nrg3182.html,ST000026,Metabolomics Workbench
The human microbiome: at the interface of health and disease,Ilseung Cho & Martin J. Blaser,2012,Nature Reviews Genetics,22411464,PMC3418802,10.1038/nrg3182,http://www.nature.com/nrg/journal/v13/n4/full/nrg3182.html,ST000029,Metabolomics Workbench
The human microbiome: at the interface of health and disease,Ilseung Cho & Martin J. Blaser,2012,Nature Reviews Genetics,22411464,PMC3418802,10.1038/nrg3182,http://www.nature.com/nrg/journal/v13/n4/full/nrg3182.html,ST000032,Metabolomics Workbench
The human microbiome: at the interface of health and disease,Ilseung Cho & Martin J. Blaser,2012,Nature Reviews Genetics,22411464,PMC3418802,10.1038/nrg3182,http://www.nature.com/nrg/journal/v13/n4/full/nrg3182.html,ST000035,Metabolomics Workbench
The human microbiome: at the interface of health and disease,Ilseung Cho & Martin J. Blaser,2012,Nature Reviews Genetics,22411464,PMC3418802,10.1038/nrg3182,http://www.nature.com/nrg/journal/v13/n4/full/nrg3182.html,ST000038,Metabolomics Workbench
The human microbiome: at the interface of health and disease,Ilseung Cho & Martin J. Blaser,2012,Nature Reviews Genetics,22411464,PMC3418802,10.1038/nrg3182,http://www.nature.com/nrg/journal/v13/n4/full/nrg3182.html,ST000033,Metabolomics Workbench
The human microbiome: at the interface of health and disease,Ilseung Cho & Martin J. Blaser,2012,Nature Reviews Genetics,22411464,PMC3418802,10.1038/nrg3182,http://www.nature.com/nrg/journal/v13/n4/full/nrg3182.html,ST000039,Metabolomics Workbench
Identification of methylated deoxyadenosines in vertebrates reveals diversity in DNA modifications,"Magdalena J Koziol, Charles R Bradshaw, George E Allen, Ana S H Costa, Christian Frezza & John B Gurdon",2016,Nature Structural & Molecular Biology,26689968,PMC4941928,10.1038/nsmb.3145,https://www.nature.com/nsmb/journal/v23/n1/full/nsmb.3145.html,MTBLS276,MetaboLights
Extensive metabolic cross-talk in melon fruit revealed by spatial and developmental combinatorial metabolomics,"Annick Moing, Asaph Aharoni, Benoit Biais, Ilana Rogachev, Sagit Meir, Leonid Brodsky, J. William Allwood, Alexander Erban, Warwick B. Dunn, Lorraine Kay, Sjaak de Koning, Ric C. H. de Vos, Harry Jonker, Roland Mumm, Catherine Deborde, Michael Maucourt, St_phane Bernillon, Yves Gibon, Thomas H. Hansen, S¿ren Husted, Royston Goodacre, Joachim Kopka, Jan K. Schjoerring, Dominique Rolin & Robert D. Hall",2011,New Phytologist,21275993,NA,10.1111/j.1469-8137.2010.03626.x,http://onlinelibrary.wiley.com/doi/10.1111/j.1469-8137.2010.03626.x/full,M08002,MeRy-B
Chronic Zinc Deficiency Alters Chick Gut Microbiota Composition and Function,"Spenser Reed, Hadar Neuman, Sharon Moscovich, Raymond P. Glahn, Omry Koren & Elad Tako",2015,Nutrients,26633470,PMC4690049,10.3390/nu7125497,http://www.mdpi.com/2072-6643/7/12/5497/htm,ST000190,Metabolomics Workbench
Sponge exhalent seawater contains a unique chemical profile of dissolved organic matter,"Cara L. Fiore_, Christopher J. Freeman & Elizabeth B. Kujawinski",2017,PeerJ,28097070,PMC5234435,10.7717/peerj.2870,https://peerj.com/articles/2870/,MTBLS281,MetaboLights
Plant metabolomics reveals conserved and divergent metabolic responses to salinity,"Diego H. Sanchez, Mohammad R. Siahpoosh, Ute Roessner, Michael Udvardi & Joachim Kopka",2007,Physiologia Plantarum,18251862,NA,10.1111/j.1399-3054.2007.00993.x,http://onlinelibrary.wiley.com/wol1/doi/10.1111/j.1399-3054.2007.00993.x/full,MTBLS22,MetaboLights
Plant metabolomics reveals conserved and divergent metabolic responses to salinity,"Diego H. Sanchez, Mohammad R. Siahpoosh, Ute Roessner, Michael Udvardi & Joachim Kopka",2007,Physiologia Plantarum,18251862,NA,10.1111/j.1399-3054.2007.00993.x,http://onlinelibrary.wiley.com/wol1/doi/10.1111/j.1399-3054.2007.00993.x/full,MTBLS41,MetaboLights
Plant metabolomics reveals conserved and divergent metabolic responses to salinity,"Diego H. Sanchez, Mohammad R. Siahpoosh, Ute Roessner, Michael Udvardi & Joachim Kopka",2007,Physiologia Plantarum,18251862,NA,10.1111/j.1399-3054.2007.00993.x,http://onlinelibrary.wiley.com/wol1/doi/10.1111/j.1399-3054.2007.00993.x/full,MTBLS42,MetaboLights
Toward Arabidopsis thaliana hydrophilic metabolome: assessment of extraction methods and quantitative 1H NMR.,Marina Gromova & Claude Roby,2010,Physiologia Plantarum,20522173,NA,10.1111/j.1399-3054.2010.01387.x,http://onlinelibrary.wiley.com/doi/10.1111/j.1399-3054.2010.01387.x/full,A05001,MeRy-B
"A metabolomic comparison of urinary changes in type 2 diabetes in mouse, rat, and human","R. M. Salek, M. L. Maguire, E. Bentley, D. V. Rubtsov, T. Hough, M. Cheeseman, D. Nunez, B. C. Sweatman, J. N. Haselden, R. D. Cox, S. C. Connor & J. L. Griffin",2007,Physiological Genomics,17190852,NA,10.1152/physiolgenomics.00194.2006,http://physiolgenomics.physiology.org/content/29/2/99,MTBLS1,MetaboLights
Deletion of glycerol channel aquaporin-9 (Aqp9) impairs long-term blood glucose control in C57BL/6 leptin receptor-deficient (db/db) obese mice,"Peter Spegel, Aakash Chawade, S¿ren Nielsen, Per Kjellbom & Michael RŸtzler",2015,Physiological Reports,26416971,PMC4600382,10.14814/phy2.12538,http://physreports.physiology.org/content/3/9/e12538,MTBLS219,MetaboLights
A metabolomic assessment of NAC154 transcription factor overexpression in field grown poplar stem wood.,"Judith Jervisa, Sherry B. Hildrethb, Xiaoyan Shengc, Eric P. Beersd, Amy M. Brunnerc & Richard F. Helm",2015,Phytochemistry,25771508,NA,10.1016/j.phytochem.2015.02.013.,http://www.sciencedirect.com/science/article/pii/S0031942215000795,MTBLS119,MetaboLights
Metabolomics in melon: A new opportunity for aroma analysis,"J. William Allwood, William Cheung, Yun Xu, Roland Mumm, Ric C. H. De Vos, Catherine Deborde, Benoit Biais, Mickael Maucourt, Yosef Berger, Arthur A. Schaffer, Dominique Rolin, Annick Moing, Robert D. Hall & Royston Goodacre",2014,Phytochemistry,24417788,PMC4180013,10.1016/j.phytochem.2013.12.010,http://www.sciencedirect.com/science/article/pii/S0031942213004871?via%3Dihub,M08004,MeRy-B
"Effects of AOX1a deficiency on plant growth, gene expression of respiratory components and metabolic profile under low-nitrogen stress in Arabidopsis thaliana.","Chihiro K. Watanabe, Takushi Hachiya, Kentaro Takahara, Maki Kawai-Yamada, Hirofumi Uchimiya, Yukifumi Uesono, Ichiro Terashima & Ko Noguchi",2010,Plant and Cell Physiology,20304787,NA,10.1093/pcp/pcq033,https://academic.oup.com/pcp/article-lookup/doi/10.1093/pcp/pcq033,MEX104,MetaPhen
Transcriptional and metabolic profiles of Lolium perenne L. genotypes in response to a PEG-induced water stress,"Alexandre Foito, Stephen L. Byrne, Tom Shepherd, Derek Stewart & Susanne Barth",2009,Plant Biotechnology Journal,19702648,NA,10.1111/j.1467-7652.2009.00437.x,http://onlinelibrary.wiley.com/doi/10.1111/j.1467-7652.2009.00437.x/abstract,MEX50,MetaPhen
Metabolomics-derived insights into the manipulation of terpenoid synthesis in Centella asiatica cells by methyl jasmonate,"Fidele Tugizimana, Efficient N. Ncube, Paul A. SteenkampIan & A. Dubery",2015,Plant Biotechnology Reports,NA,NA,10.1007/s11816-015-0350-y,https://link.springer.com/article/10.1007/s11816-015-0350-y,MTBLS175,MetaboLights
High quality metabolomic data for Chlamydomonas reinhardtii,Do Yup Lee & Oliver Fiehn,2008,Plant Methods,18442406,PMC2377246,10.1186/1746-4811-4-7,https://plantmethods.biomedcentral.com/articles/10.1186/1746-4811-4-7,ST000012,Metabolomics Workbench
Metabolome Phenotyping of Inorganic Carbon Limitation in Cells of the Wild Type and Photorespiratory Mutants of the Cyanobacterium Synechocystis sp. Strain PCC 6803,"Marion Eisenhut, Jan Huege, Doreen Schwarz, Hermann Bauwe, Joachim Kopka & Martin Hagemann",2008,Plant Physiology,18945936,PMC2593672,10.1104/pp.108.129403,http://www.plantphysiol.org/content/148/4/2109,MTBLS5,MetaboLights
Identification of Putative Stage-Specific Grapevine Berry Biomarkers and Omics Data Integration into Networks,"Anita Zamboni, Mariasole Di Carli, Flavia Guzzo, Matteo Stocchero, Sara Zenoni, Alberto Ferrarini, Paola Tononi, Ketti Toffali, Angiola Desiderio, Kathryn S. Lilley, M. Enrico Pè, Eugenio Benvenuto, Massimo Delledonne & Mario Pezzotti",2010,Plant Physiology,20826702,PMC2971619,10.1104/pp.110.160275,http://www.plantphysiol.org/content/154/3/1439,MTBLS39,MetaboLights
Metabolomic Characterization of Knock-Out Mutants in Arabidopsis - Development of a Metabolite Profiling Database for Knock-Out Mutants in Arabidopsis (MeKO),"Atsushi Fukushima, Miyako Kusano, Ramon Francisco Mejia, Mami Iwasa, Makoto Kobayashi, Naomi Hayashi, Akiko Watanabe-Takahashi, Tomoko Narisawa, Takayaki Tohge, Manhoi Hur, Eve Syrkin Wurtele, Basil J. Nikolau & Kazuki Saito",2014,Plant Physiology,24828308,PMC4081348,10.1104/pp.114.240986,http://www.plantphysiol.org/content/165/3/948.long,MTBLS47,MetaboLights
Coordinate Regulation of Metabolite Glycosylation and Stress Hormone Biosynthesis by TT8 in Arabidopsis,"Amit Rai, Shivshankar Umashankar, Megha Rai, Lim Boon Kiat, Johanan Aow Shao Bing & Sanjay Swarup",2016,Plant Physiology,27432888,PMC4972274,10.1104/pp.16.00421,http://www.plantphysiol.org/content/171/4/2499.long,MTBLS129,MetaboLights
